"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/08/15 12:03:40 pm CET","Gary","Gaube","2013","Environmental Modelling and Software","45","","92-103","Yes","Yes","Yes","Yes","City","Vienna, Austria","Mix of Raster and Vector","Yes","","59","","","Humans;Households","770000","Households","","4","No","","No","for the sake of simplicity;lack of data","including other social processes;more data",""
"2024/08/15 12:09:13 pm CET","Ric","Zagaria","2021","Agricultural Systems","188","","","Yes","Yes","Yes","Yes","County or Municipality","Romagna Italy","Raster (cells, pixels, patches)","No","","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","8584","Humans","8584","35","No","","No","","",""
"2024/08/15 12:21:26 pm CET","Ric","Schmidt","2021","Agricultural Systems","","194","","Yes","Yes","Yes","Yes","Nation","Switzerland","Not a spatially explicit model","","","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","3100","Organizations","","500","No","","No","","",""
"2024/08/15 12:53:40 pm CET","Gary","Koutiva","2016","Environmental Modelling and Software","79","","35-54","Yes","Yes","Yes","No","City","Athens, Greece","Not a spatially explicit model","N/A","","","","","Households","930","Households","930000","3140","No","","Maybe","for the sake of simplicity;to save computing time;lack of data","including other social processes",""
"2024/08/15 1:16:52 pm CET","Ric","Crooks","2013","Computers, Environment and Urban Systems","41","","100-111","Yes","Yes","Yes","Yes","Nation","Haiti part of 8 by 6 km","Raster (cells, pixels, patches)","Yes","4800","","","","Humans;Organizations (businesses, NGOs, etc.)","1300000","Humans","9719932","150","No","","No","","more data",""
"2024/08/15 1:31:53 pm CET","Ric","Birkin","2014","Computers, Environment and Urban Systems","48","","49-63","Yes","Yes","Yes","Yes","City","Gipton leeds","Paper does not say","","","","","","Households","35729","Households","35729","1000","No","","","","",""
"2024/08/15 1:59:48 pm CET","Doug","Bogado Tomasiello","2018","Computers, Environment and Urban Systems","81","101462","","Yes","Yes","Yes","Yes","County or Municipality","Sao Paolo","Paper does not say","No","","","","","Humans;Organizations (businesses, NGOs, etc.)","15008","Humans","3001600","5","No","","","","more environmental dynamics",""
"2024/08/15 2:09:42 pm CET","Ric","Marini","2019","Computers, Environment and Urban Systems","78","","","Yes","Yes","Yes","Yes","County or Municipality","Swiss agglomeration of Lausanne","Paper does not say","","","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","100000","Humans","298000","15","Yes","Organization's computing cluster","Yes","to save computing time","more agents",""
"2024/08/15 2:19:03 pm CET","Ric","Zhu,","2021","Computers, Environment and Urban Systems","89","","101680","Yes","Yes","Yes","Yes","County or Municipality","Baton Rouge, Louisiana.","Mix of Raster and Vector","No","","","","","Humans","1000","Humans","","100","No","","No","","",""
"2024/08/15 2:22:57 pm CET","Doug","Zhu","2021","Computers, Environment and Urban Systems","89","","101680","Yes","Yes","Yes","Yes","City","East Baton Rouge Parish, Louisiana","Raster (cells, pixels, patches)","Yes","30463","","","","Humans","","Humans","","45","Yes","Personal computer (desktop/laptop)","Yes","to save computing time","",""
