"Timestamp","Username","First author's surname","Year of publication","Which journal is the paper in?","Journal volume identifier","Issue number","Page range or article number","Is this paper about an agent-based model?","Is this paper about a model in the social sciences?","Does the model simulate an empirical, contemporary case study?","Does the paper provide any information about the spatial extent of the model?","What is the spatial extent simulated in the model?","What is the name given by the authors in the paper to the area simulated?","How is space represented in the model?","Does the paper say how many pixels, patches, cells and/or polygons?","Number of pixels, patches or cells","Number of polygons, lines, points or 'features'","How many time steps are in the model?","What sort of time scale do the time steps represent?","Which social entities are represented as agents in the model?","How many agents are simulated in the model?","Units of the number of agents","How many of the above 'units' are there in the real case study?","How many runs of the model do the authors report having done?","Do the authors provide any information about the computing equipment they used?","What computing equipment was used?","Does the paper discuss any practical limitations on their work that might be fixed by access to more computing power?","When describing or discussing the model, which of the following phrases (or similar) were used to suggest pragmatic constraints on the work?","When discussing the model's limitations or any future work, which of the following are mentioned in a way that suggests a superior study would have done them if feasible?","Interesting?"
"2024/10/01 12:32:57 pm CET","Doug","Brown","2013","Journal of Artificial Societies and Social Simulation","16","2","5","Yes","Yes","Yes","Yes","City","Boston","Not a spatially explicit model","No","","","21","Years","Humans;Households","300000","","","250","No","","No","","including other social processes","No"
"2024/10/01 12:57:18 pm CET","Doug","Damarest","2013","Journal of Artificial Societies and Social Simulation","16","4","3","Yes","Yes","Yes","Yes","Village","Vhembe district, Limpopo Province","Paper does not say","No","","","1095","Days","Households","457","","457","100","No","","No","","including other social processes;more data","No"
"2024/10/02 9:09:00 am CET","Doug","Pizzitutti","2014","Journal of Artificial Societies and Social Simulation","17","1","","Yes","Yes","Yes","Yes","Nation","Galapagos","Not a spatially explicit model","No","","","5400","Days","Humans;Organizations (businesses, NGOs, etc.)","200000","","","40","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/10/02 9:46:38 am CET","Doug","Ghorbani","2015","Journal of Artificial Societies and Social Simulation","18","1","2","Yes","Yes","Yes","Yes","Multiple Counties or Region","Westland","Paper does not say","No","","","","","","","Humans","","","No","","No","","","No"
"2024/10/02 10:22:00 am CET","Doug","Barthelemy","2015","Journal of Artificial Societies and Social Simulation","18","3","15-35","Yes","Yes","Yes","Yes","Nation","Belgium","Vector (polygons, lines, points)","No","","189193","","","Humans;Households","1435000","Humans","1000000","","Yes","Organization's computing cluster","No","","more complicated decision making algorithms","Yes"
"2024/10/02 1:08:44 pm CET","Doug","Scott","2015","Journal of Artificial Societies and Social Simulation","19","1","10","Yes","Yes","","Yes","City","Melbourne","Paper does not say","No","","","","Hours","Humans","","","","","No","","No","","including other social processes;more data",""
"2024/10/02 1:44:02 pm CET","Doug","Ma","2014","Journal of Artificial Societies and Social Simulation","19","4","5","Yes","Yes","Yes","Yes","Nation","Japan","","","","","28","Years","Humans;Households","6825","Households","177686","30","No","","No","","","No"
"2024/10/02 2:22:10 pm CET","Doug","Dubbelboer","2017","Journal of Artificial Societies and Social Simulation","20","1","6","Yes","Yes","Yes","Yes","Town","Camden","","","","","30","Years","Humans","","Humans","228400","1200","No","","No","","","No"
"2024/10/02 2:37:10 pm CET","Doug","Sobkowicz","2017","Journal of Artificial Societies and Social Simulation","20","2","5","Yes","Yes","Yes","N/A (This paper should be excluded)","","","Not a spatially explicit model","","","","","","","","","","","","","","","",""
"2024/10/02 2:49:29 pm CET","Doug","El-Tawil","2017","Journal of Artificial Societies and Social Simulation","20","4","10","Yes","Yes","Yes","Yes","","Station Nightclub in West Warwick, Rhode Island","","","","","","Seconds","Humans","465","Humans","465","40","No","","No","","","No"
"2024/10/03 8:16:46 am CET","Doug","Dumont","2018","Journal of Artificial Societies and Social Simulation","21","4","3","No","Yes","Yes","No","City","South East of Sydney","","","","","","Years","Humans","","Humans","","","No","","No","","",""
"2024/10/03 9:04:11 am CET","Doug","Pasimeni","2018","Journal of Artificial Societies and Social Simulation","22","1","11","Yes","Yes","Yes","Yes","Nation","Italy","","","","","200","","Organizations (businesses, NGOs, etc.)","","Organizations","","40","No","","No","","","No"
"2024/10/03 9:26:15 am CET","Doug","Dou","2020","Journal of Artificial Societies and Social Simulation","23","1","1-29","Yes","Yes","Yes","Yes","Multiple Counties or Region","Sinop, Mato Grosso state, Brazil","Raster (cells, pixels, patches)","Yes","1296","","20","Years","Humans;Organizations (businesses, NGOs, etc.)","","","","10","No","","No","","",""
"2024/10/03 9:49:36 am CET","Doug","Bedham","2021","Journal of Artificial Societies and Social Simulation","24","1","8","Yes","Yes","Yes","Yes","Multiple Counties or Region","North East England","Not a spatially explicit model","Yes","1681","","","Days","Humans","20172","Humans","","2000","No","","No","","","Maybe"
"2024/10/03 11:58:54 am CET","Doug","Retzlaff","2022","Journal of Artificial Societies and Social Simulation","25","1","3","Yes","Yes","Yes","Yes","City","Aachen andRostock","Paper does not say","No","","","113","Days","Humans","67939","","","128","No","","No","","","No"
"2024/10/03 12:33:57 pm CET","Doug","Sedigh","2023","Journal of Artificial Societies and Social Simulation","25","1","1","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/10/03 3:32:24 pm CET","Doug","Koll","2023","Journal of Artificial Societies and Social Simulation","26","1","7","Yes","Yes","Yes","Yes","Town","Coos Bay, OR, USA and Seaside, OR","Paper does not say","No","","","5760","Minutes","","26363","Humans","","","No","","No","","","No"
"2024/10/03 3:45:52 pm CET","Doug","Yoon","2010","Journal of Asian Architecture and Building Engineering","9","","163-170","Yes","Yes","Yes","No","Housing Estate","Shimokitazawa in Tokyo, Japan ","Paper does not say","No","","","","Seconds","","","","","","","","No","","","No"
"2024/10/04 8:22:22 am CET","Doug","Satoh","2010","Journal of Asian Architecture and Building Engineering","","","","I cannot be sure from reading the paper","Yes","Yes","Yes","Multiple Counties or Region","Nakhon Pathom Prefecture, Thailand,","Raster (cells, pixels, patches)","Yes","2500","","","","","","","","","No","","No","","","No"
"2024/10/04 8:41:46 am CET","Doug","Ordóñez Medina","2013","Transportation Research Record","2344","1","","I cannot be sure from reading the paper","Yes","Yes","Yes","Housing Estate","Singapore","Paper does not say","","","","","","","","Organizations","","","Yes","Organization's computing cluster","","","","No"
"2024/10/04 2:35:35 pm CET","Doug","Kim","2021","International Journal of Environmental Research and Public Health","18","7","","Yes","Yes","Yes","No","Nation","South Korea","","","","","","Days","Humans","5000","Humans","","","No","","","","","No"
"2024/10/10 9:37:44 am CET","Doug","Asgary","2022","International Journal of Environmental Research and Public Health","19","15 ","","Yes","Yes","Yes","No","Multiple Counties or Region"," Ontario, Canada","Paper does not say","No","","","50","Days","Humans","560","Humans","560","150","No","","No","","more data","No"
"2024/10/10 12:36:18 pm CET","Doug","Benny","2022","International Journal of Environmental Research and Public Health","19","7","","Yes","Yes","","Yes","Nation","Canada","","","","","","","Humans","","","","8","No","","No","","including other social processes;more / other scenarios","No"
"2024/10/10 1:12:21 pm CET","Doug","Dong","2022","International Journal of Environmental Research and Public Health","19","16","","Yes","Yes","Yes","Yes","County or Municipality","Shanghai Hangpu District","","No","","","600","Days","Humans;Households","927455","Humans","662030","","No","","No","","","Maybe"
"2024/10/10 1:28:42 pm CET","Doug","Liyanage","2022","Sustainability","12","10","4117","Yes","Yes","Yes","Yes","City","Inner City of Melbourne","Paper does not say","No","","","68400","Seconds","Humans;Households","64714","Humans","46562","","No","","No","","more complicated decision making algorithms;including other social processes","Maybe"
"2024/10/10 1:40:28 pm CET","Doug","Sandoval-Felix","2021","Sustainability","13","2","714","Yes","Yes","Yes","Yes","City","Ensenada, México (UDPE)","Vector (polygons, lines, points)","Yes","45652","","","Years","Humans","363260","","","50","No","","No","","including other social processes",""
"2024/10/11 8:39:56 am CET","Doug","Luo","2021","Sustainability","13","21","11750","Yes","Yes","Yes","Yes","Multiple Counties or Region","Yunan Province of China","Paper does not say","","","","365","Days","Humans","10000","Humans","1527991","","No","","No","","including other social processes","No"
"2024/10/11 12:21:29 pm CET","Doug","Kilani","2022","Sustainability","14","3","1535","Yes","Yes","Yes","Yes","City","City Centre of Lille","Vector (polygons, lines, points)","","","218438","","","Humans;Human-Operated Machines","","Humans","","","No","","No","","more complicated decision making algorithms;including other social processes;more data","No"
"2024/10/11 12:50:42 pm CET","Doug","Hinojoza-Castro","2022","Sustainability","","","","No","Yes","No","Yes","Multiple Counties or Region","Henares urban–industrial corridor, between Madrid and Guadalajara","","","","","","","","","","","","","","","","",""
"2024/10/11 1:01:14 pm CET","Doug","Teran","2007","Journal of Artificial Societies and Social Simulation","10","3","6","Yes","Yes","No","Yes","County or Municipality","Caparo Forest Reserve, in Venezuel","Not a spatially explicit model","No","","","50","Years","Humans","","","","9","No","","No","","","No"
"2024/10/15 11:15:07 am CET","Alison","Haas","2016","PLoS ONE","","","","Yes","Yes","Yes","Yes","Continent","Asia","Not a spatially explicit model","No","","","10","Years","Humans","","Humans","","","No","","No","lack of data","more data","No"
"2024/10/15 11:34:28 am CET","Alison","Lindkvist","2017","PLoS ONE","","","","Yes","Yes","Yes","Yes","Nation","Northwest Mexico","Not a spatially explicit model","","","","100","Years","Humans","","Humans","","","No","","No","lack of data","more environmental dynamics;more data","No"
"2024/10/15 11:46:50 am CET","Alison","Alghais","2018","PLoS ONE","","","","Yes","Yes","Yes","Yes","Nation","State of Kuwait","Vector (polygons, lines, points)","","","","7","Years","Humans","","Humans","4500000","35","No","","No","lack of data","more data","No"
"2024/10/15 11:52:01 am CET","Alison","Eitzel","2020","PLoS ONE","","","","Yes","No","","Yes","","","","","","","","","","","","","","","","","","",""
"2024/10/15 11:55:37 am CET","Alison","Carvalho","2020","PLoS ONE","","","","Yes","Yes","Yes","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","",""
"2024/10/15 12:27:49 pm CET","Alison","Vojnovic","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Detroit","Vector (polygons, lines, points)","No","","","","","Households","","Households","713777","","No","","No","lack of data","","No"
"2024/10/15 12:48:23 pm CET","Alison","Filomena","2020","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","London and Paris ","Vector (polygons, lines, points)","No","","","","","Humans","2000","Humans","","","No","","No","for the sake of simplicity;to save disk space","","Yes"
"2024/10/22 1:01:11 pm CET","Alison","Stapelberg","2021","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Sydney, Melbourne and the Gold Coast ","Not a spatially explicit model","No","","","","","Humans","100000","Humans","","100","No","","No","","","No"
"2024/10/22 1:18:34 pm CET","Alison","Fosco","2021","PLoS ONE","","","","No","Yes","Yes","No","County or Municipality","Santiago Metropolitan Region","Not a spatially explicit model","N/A","","","","","Humans","540445","Humans","","100","No","","No","","","No"
"2024/10/22 1:42:49 pm CET","Alison","Alagoz","2021","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","1) Dane County, Wisconsin; 2) Milwaukee metropolitan area, Wisconsin; 3) New York City (NYC).","Not a spatially explicit model","No","","","","","Humans","","","","","No","","No","","","No"
"2024/10/22 1:55:22 pm CET","Alison","Hernandez-Hernandez","2021","PLoS ONE","","","","Yes","Yes","Yes","Yes","County or Municipality","Yucatan (Mexico)","Not a spatially explicit model","N/A","","","100","Days","Humans","","","","300","No","","No","lack of data","more data","No"
"2024/10/22 2:25:31 pm CET","Alison","Ferguson","2022","PLoS ONE","","","","Yes","No","Yes","Yes","City","Mexico City","Not a spatially explicit model","N/A","","","12","Years","Humans","","Humans","","","No","","No","","","No"
"2024/10/22 2:38:39 pm CET","Alison","Mintram","2022","PLoS ONE","","","","Yes","Yes","Yes","No","","","Not a spatially explicit model","","","","243","Days","Humans","10000","","","100","No","","No","lack of data","more data","No"
"2024/10/22 2:54:12 pm CET","Alison","Vermeer","2022","PLoS ONE","","","","Yes","Yes","Yes","Yes","City","Chicago","Not a spatially explicit model","","","","15","Years","Humans","6500","Humans","","44","No","","Yes","to save computing time","more agents;more data","No"
"2024/10/23 2:56:54 pm CET","Alison","Saval","2023","PLoS ONE","","","","I cannot be sure from reading the paper","No","Yes","Yes","City","Hanoi - m'sim model","Vector (polygons, lines, points)","","","","","","","","","","","","","","","",""
"2024/10/23 2:59:46 pm CET","Alison","Satoh","2010","Journal of Asian Architecture and Building Engineering","","","","Yes","No","Yes","Yes","County or Municipality","Nakhon Pathom prefecture, Thailand","Raster (cells, pixels, patches)","","","","","","","","","","","","","","","",""
"2024/10/23 3:05:29 pm CET","Alison","Lee","2013","Journal of Asian Architecture and Building Engineering","","","","Yes","Yes","Yes","Yes","Village","Tate Gallery","Mix of Raster and Vector","Yes","961","","","","Humans","","","","","No","","No","for the sake of simplicity","","No"
"2024/10/23 5:18:12 pm CET","Alison","Miller","2011","Transportation Research Record","","","","No","Yes","","N/A (This paper should be excluded)","","","","","","","","","","","","","","","","","","","No"
"2024/10/24 11:24:52 am CET","Ric","Scott","2016","Journal of Artificial Societies and Social Simulation","19","1","10","Yes","Yes","Yes","Yes","City","Melbourne","Raster (cells, pixels, patches)","No","","","15","Hours","Humans;Organizations (businesses, NGOs, etc.)","","Humans","807","","No","","","","more complicated decision making algorithms;more data","Yes"
"2024/10/24 11:36:02 am CET","Ric","Quinn","2016","Journal of Artificial Societies and Social Simulation","19","2","1460-7425","Yes","Yes","Yes","Yes","City","Melbourne","Not a spatially explicit model","","","","365","Days","Humans","250","Humans","255","6250","No","","No","","more data","No"
"2024/10/24 12:04:49 pm CET","Ric","Ge","2015","Journal of Artificial Societies and Social Simulation","19","3","11","Yes","Yes","Yes","Yes","City","Aberdeen","Raster (cells, pixels, patches)","Yes","200000","","1728000","Seconds","Humans;Organizations (businesses, NGOs, etc.)","1000","Humans","100000","1000","No","","","","more agents;more fine-grained spatial representation","Yes"
"2024/10/24 12:44:53 pm CET","Ric","Ma","2016","Journal of Artificial Societies and Social Simulation","19","4","5","Yes","Yes","Yes","Yes","City","Kanazawa Japan,","Raster (cells, pixels, patches)","","","","30","Years","Households;Municipal/Local Governments","6825","Households","","30","No","","No","","","No"
"2024/10/24 12:54:30 pm CET","Ric","Holm","2016","Journal of Artificial Societies and Social Simulation","19","3","3","Yes","Yes","Yes","Yes","Nation","a roundwood market in Switzerland","Raster (cells, pixels, patches)","","","","240","Months","Organizations (businesses, NGOs, etc.)","80","Organizations","80","100","No","","No","","","No"
"2024/10/24 1:05:49 pm CET","Ric","Brousmiche","2016","Journal of Artificial Societies and Social Simulation","19","4","2","Yes","Yes","Yes","Yes","County or Municipality","Kapisa (Afghanistan)","Not a spatially explicit model","","","","554","Days","Humans","500","Humans","","60000","No","","","","more complicated decision making algorithms","No"
"2024/10/24 1:16:07 pm CET","Ric","Krebs","2017","Journal of Artificial Societies and Social Simulation","20","2","10","Yes","Yes","Yes","Yes","Nation","Germany","Raster (cells, pixels, patches)","","","","72","Months","Households","300000","Households","","","No","","No","","","No"
"2024/10/24 1:27:35 pm CET","Ric","Gotts","2017","Journal of Artificial Societies and Social Simulation","20","3","11","Yes","Yes","Yes","Yes","County or Municipality","Aberdeenshire","Not a spatially explicit model","","","","200","Months","Households","197","Households","197","55296","No","","No","","","Yes"
"2024/10/24 1:36:28 pm CET","Ric","Xiong","2018","Journal of Artificial Societies and Social Simulation","21","4","6","Yes","Yes","Yes","Yes","County or Municipality","Wuhan area China","Vector (polygons, lines, points)","","","","7","Years","","","Humans","","100","No","","No","","","No"
"2024/10/25 10:26:45 am CET","Ric","Hailegiorgis","2018","Journal of Artificial Societies and Social Simulation","21","4","4","Yes","Yes","Yes","Yes","County or Municipality","South Omo Zone of Ethiopia","Raster (cells, pixels, patches)","Yes","3296349","","18250","Years","Households","50000","Households","","300","No","","No","","","Yes"
"2024/10/25 10:39:10 am CET","Ric","Hunter","2018","Journal of Artificial Societies and Social Simulation","21","4","9","Yes","Yes","Yes","Yes","Town","Schull and Tramore. Ireland","Raster (cells, pixels, patches)","Yes","","","100","","Households","","Households","10000","200","No","","No","","more data","No"
"2024/10/25 10:44:58 am CET","Ric","Bao","2019","Journal of Artificial Societies and Social Simulation","22","1","7","Yes","Yes","Yes","No","","","Raster (cells, pixels, patches)","","200","","80","Months","Households","200","Households","","","No","","No","","","No"
"2024/10/25 10:59:04 am CET","Ric","Kant","2020","Journal of Artificial Societies and Social Simulation","","4","4","Yes","Yes","Yes","Yes","Nation","France","Not a spatially explicit model","","","","2000","Weeks","Humans;Households;Organizations (businesses, NGOs, etc.)","9521","","","","No","Personal computer (desktop/laptop)","Yes","time taken to calibrate the model","","Yes"
"2024/10/25 11:07:20 am CET","Ric","Nöldeke","2020","Journal of Artificial Societies and Social Simulation","23","4","9","Yes","Yes","Yes","Yes","County or Municipality","Mantapala Zambia","Not a spatially explicit model","","","","52","Weeks","Households","264","Households","","900","No","","","","more data;more / other scenarios","No"
"2024/10/25 11:33:05 am CET","Ric","Termos","2020","Journal of Artificial Societies and Social Simulation","","1","2","Yes","Yes","Yes","Yes","City","Beirut","Raster (cells, pixels, patches)","","","","600","Months","","","Households","","300","No","","No","","","Yes"
"2024/10/25 11:41:25 am CET","Ric","Badham","2021","Journal of Artificial Societies and Social Simulation","24","1","8","Yes","Yes","No","No","","","Raster (cells, pixels, patches)","Yes","1681","","300","Days","Humans","20172","Humans","","2000","No","","No","","more data;more / other scenarios;covid ","No"
"2024/11/04 5:12:05 pm CET","Gary","Stapelberg","2021","PLoS ONE","16","5","e0251737","Yes","Yes","Yes","Yes","City","Melbourne, Sydney, Gold Coast, Australia","Not a spatially explicit model","N/A","","","195","Days","Humans","5000000","Humans","5000000","300","Yes","Personal computer (desktop/laptop)","No","","Multiple age bands","No"
"2024/11/04 5:22:54 pm CET","Gary","Sanches","2022","PLoS ONE","17","1","e0263064","Yes","Yes","No","N/A (This paper should be excluded)","Village","","Raster (cells, pixels, patches)","","2401","","3000","Years","Households","49","Households","","1000","No","","No","","more complicated decision making algorithms","No"
"2024/11/04 5:38:38 pm CET","Gary","Hadley","2022","PLoS ONE","17","3","e0264704","I cannot be sure from reading the paper","Yes","Yes","Yes","County or Municipality","North Carolina, USA","Not a spatially explicit model","N/A","","","30","Days","Humans","","Humans","","4","No","","No","","","No"
"2024/11/04 6:01:59 pm CET","Gary","Olivella-Rosell","2015","Energies","8","","4160-4187","Yes","Yes","Yes","Yes","City","Barcelona, Spain","Other","N/A","","","1200","Minutes","Human-Operated Machines;Organizations (businesses, NGOs, etc.)","805","Human-Operated Machines","","5","No","","Yes","to save computing time;to save memory;to save disk space","","Maybe"
"2024/11/04 6:08:46 pm CET","Gary","Shu","2015","Energies","8","","13284-13307","No","Yes","Yes","Yes","County or Municipality","Jiangsu Province, China","Vector (polygons, lines, points)","","","","","","","","","","","No","","","","","No"
"2024/11/04 6:21:21 pm CET","Gary","Luo","2019","International Journal of Environmental Research and Public Health","16","","1677","Yes","Yes","Yes","Yes","Multiple Counties or Region","Western Pacific Region, China","Not a spatially explicit model","N/A","","","","","Humans","10000","Humans","153000000","16","No","","Yes","lack of data","including other social processes;more data;more / other scenarios","No"
"2024/11/05 2:53:44 pm CET","Gary","Asgary","2022","International Journal of Environmental Research and Public Health","19","","2635","Yes","Yes","Yes","Yes","Village","A residential care home in Ontario, Canada","Paper does not say","No","","","50","Days","Humans","560","Humans","","5000","No","","","","including other social processes;more data;more / other scenarios;generalization to other contexts","Maybe"
"2024/11/05 5:38:53 pm CET","Gary","Benny","2022","International Journal of Environmental Research and Public Health","19","","4208","Yes","Yes","Yes","Yes","City","Calgary, Canada","Not a spatially explicit model","N/A","","","","","Humans","17865","Humans","","12","No","","Yes","lack of data","more complicated decision making algorithms;including other social processes;more data","No"
"2024/11/05 6:05:15 pm CET","Alison","Ordonez","2013","Transportation Research Record","","","","No","Yes","","Yes","","","","","","","","","","","","","","","","","","",""
"2024/11/05 6:08:52 pm CET","Gary","Li","2018","Sustainability","10","","1575","I cannot be sure from reading the paper","Yes","Yes","Yes","","A county in rural Alabama, USA","Vector (polygons, lines, points)","No","","","100","Weeks","Humans;Organizations (businesses, NGOs, etc.)","613","Humans","","18","No","","No","","","No"
"2024/11/05 6:23:30 pm CET","Gary","Anastasiadis","2020","Sustainability","13","","168","Yes","Yes","Yes","Yes","City","Chicago","Vector (polygons, lines, points)","Yes","","104074","","","Human-Operated Machines","3500","Human-Operated Machines","","105","Yes","Personal computer (desktop/laptop)","No","","Improved optimization method","Maybe"
"2024/11/05 6:28:44 pm CET","Alison","Luo","2018","Energies","","","","Yes","Yes","Yes","Yes","County or Municipality","Shandong Province of China","Not a spatially explicit model","No","","","","","Humans","","","","","No","","No","","","No"
"2024/11/05 6:39:14 pm CET","Alison","Song","2020","Energies","","","","Yes","Yes","Yes","Yes","Town","Harbin, China","Not a spatially explicit model","","","","","","Humans","100","Humans","","10","No","","No","","more agents;more data","No"
"2024/11/05 6:43:47 pm CET","Gary","Jiang","2021","Sustainability","13","","2283","Yes","Yes","Yes","Yes","Multiple Counties or Region","Detroit Tri-County area, USA 5095km^2","Vector (polygons, lines, points)","No","","","20","Years","Humans;Organizations (businesses, NGOs, etc.)","10602","Households","1060200","150","No","","Yes","for the sake of simplicity;to save computing time","more fine-grained spatial representation;including other social processes;more data;more / other scenarios;more fine-grained temporal resolution","Yes"
"2024/11/05 6:51:10 pm CET","Alison","Holtz","2020","Energies","","","","Yes","Yes","Yes","No","City","","Not a spatially explicit model","No","","","","","","","Humans","","","No","","","","more data","No"
"2024/11/05 6:59:17 pm CET","Gary","Chiou","2021","Sustainability","13","","8015","Yes","Yes","Yes","Yes","","Shida Night Market, Taiwan (Street)","Raster (cells, pixels, patches)","Yes","8601","","1001","","Humans;Organizations (businesses, NGOs, etc.)","150","Humans","149","270","No","","No","","","No"
"2024/11/05 7:08:42 pm CET","Alison","Li","2022","International Journal of Environmental Research and Public Health","","","","Yes","Yes","Yes","Yes","","Xin’an River basin, China","","No","","","20","Years","Humans","1500","Humans","","","No","","No","","","No"
"2024/11/05 7:16:55 pm CET","Alison","Dong","2022","International Journal of Environmental Research and Public Health","","","","Yes","Yes","Yes","Yes","Town","Huangpu District of Shanghai","Not a spatially explicit model","No","","","600","Hours","Humans","","","","100","No","","No","","","No"
"2024/11/05 8:27:47 pm CET","Alison","Wu","2022","International Journal of Environmental Research and Public Health","","","","Yes","Yes","Yes","Yes","Town","Longchi Town, China","Raster (cells, pixels, patches)","No","","","","","Humans","","","","50","No","","No","","","No"
"2024/11/05 8:35:50 pm CET","Alison","Torkjazi","2019","Sustainability","","","","Yes","No","Yes","Yes","","","","","","","","","","","","","","","","","","","No"
"2024/11/05 8:54:51 pm CET","Alison","Al-Shaery","2021","Sustainability","","","","Yes","Yes","Yes","Yes","City","Mecca, Saudi Arabia","Raster (cells, pixels, patches)","No","","","","","Humans","3000","Humans","","","Yes","Personal computer (desktop/laptop)","No","","","No"
"2024/11/05 9:03:56 pm CET","Alison","Koppelaar","2021","Sustainability","","","","Yes","Yes","Yes","Yes","City","Szeged (Hungary), Alcalá de Henares (Spain), the Metropolitan City of Milan (Italy) and Çankaya Municipality (Turkey).","Raster (cells, pixels, patches)","No","","","","Minutes","","2900","","","6","No","","Yes","","","Yes"
"2024/11/05 9:07:11 pm CET","Alison","Xing","2021","Sustainability","","","","No","No","","Yes","","","","","","","","","","","","","","","","","","",""
"2024/11/06 6:37:30 pm CET","Gary","Xing","2021","Sustainability","13","","8437","No","I don't think there are any agents in the model","I don't think there are any agents in the model","N/A (This paper should be excluded)","Catchment of a River Basin","Huaitoutala, Qinghai, China","Other","N/A","","","100","","","","","","","No","","No","","","No"
"2024/11/06 6:48:10 pm CET","Gary","De Wolf","2022","Sustainability","14","","1535","No","I don't think there are any agents in the model","I don't think there are any agents in the model","Yes","Multiple Counties or Region","Picardie, France","Vector (polygons, lines, points)","Yes","","703510","","","Humans","","","4000000","","No","","Yes","to save computing time;lack of data","","No"
"2024/11/06 6:57:35 pm CET","Gary","Gebrehiwot","2022","Sustainability","14","","9715","Yes","Yes","Yes","Yes","County or Municipality","Guildford County, North Carolina, USA","Raster (cells, pixels, patches)","No","","","","","Households;Organizations (businesses, NGOs, etc.)","","","","","No","","No","","more data","No"
"2024/11/06 7:19:19 pm CET","Gary","Truong","2023","Sustainability","15","","5355","Yes","Yes","Yes","Yes","Catchment of a River Basin","Mekong Delta, Viet Nam (~3M Ha)","Raster (cells, pixels, patches)","No","119930","","36","Years","Organizations (businesses, NGOs, etc.)","119930","Organizations","","7","No","","No","","Coupling models together","No"
"2024/11/07 12:07:40 pm CET","Gary","Assaf","2023","Sustainability","15","","8527","Yes","Yes","Yes","Yes","Housing Estate","District 5, Manhattan, NYC, USA","Vector (polygons, lines, points)","No","","","20","Years","Organizations (businesses, NGOs, etc.)","30","Organizations","","10000","","","","","more environmental dynamics","Maybe"
"2024/11/07 1:10:59 pm CET","Gary","Bai","2015","Sustainability","7","","14802-14833","Yes","Yes","Yes","Yes","Town","Qianjingou Town, Inner Mongolia, China 600.11km^2","Raster (cells, pixels, patches)","","17056","","30","Years","Humans;Households;Organizations (businesses, NGOs, etc.);Municipal/Local Governments","17056","Humans","17500","1","No","","No","","more complicated decision making algorithms;more data;more / other scenarios","No"
"2024/11/07 1:49:09 pm CET","Alison","Tama","2022","Sustainability","","","","Yes","No","","No","","","","","","","","","","","","","","","","","","",""
"2024/11/07 1:55:21 pm CET","Alison","Hinojoza-Castro","2022","Sustainability","","","","Yes","Yes","Yes","Yes","Village","Henares urban–industrial corridor (Spain)","Not a spatially explicit model","No","","","","","Humans","","","","","No","","No","","","No"
"2024/11/07 2:41:02 pm CET","Alison","Assaf","2023","Sustainability","","","","Yes","Yes","Yes","No","City","New York","Vector (polygons, lines, points)","No","","","10000","","Humans","","","","","No","","No","","","No"
"2024/11/07 2:48:51 pm CET","Gary","Luo","2021","Sustainability","13","","11750","No","Yes","Yes","Yes","Multiple Counties or Region","Six destinations in Yunnan Province, China","Not a spatially explicit model","N/A","","","40","Days","Humans","10000","Humans","152779100","","No","","","","more complicated decision making algorithms;more data","No"
"2024/11/07 3:04:07 pm CET","Alison","Ionesco ","2021","Sustainability","","","","Yes","Yes","Yes","Yes","Housing Estate","School in Bucharest","Raster (cells, pixels, patches)","No","","","","Seconds","Humans","180","Humans","","400","No","","No","","","No"
"2024/11/07 3:08:26 pm CET","Alison","Zhu","2022","Sustainability","","","","No","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","",""
"2024/11/07 3:09:22 pm CET","Gary","Zhu","2022","Sustainability","14","","16183","No","Yes","Yes","Yes","City","Shanghai, China","Vector (polygons, lines, points)","No","","","11","Years","Humans","","Humans","","","No","","","","","No"
"2024/11/07 3:17:35 pm CET","Gary","Rakowski","2010","Journal of Artificial Societies and Social Simulation","13","1","13","No","Yes","Yes","Yes","Nation","Poland","Vector (polygons, lines, points)","No","","","","","Humans;Households;Organizations (businesses, NGOs, etc.)","","","","","No","","","","","No"
"2024/11/07 3:25:50 pm CET","Gary","Pluchino","2014","Journal of Artificial Societies and Social Simulation","17","1","16","Yes","Yes","Yes","Yes","","Castello Ursino Museum, Catania, Italy","Raster (cells, pixels, patches)","No","","","2000","Seconds","Humans","400","Humans","","18","No","","No","","","No"
"2024/11/07 3:35:19 pm CET","Gary","Zhang","2014","Journal of Artificial Societies and Social Simulation","17","1","18","Yes","Yes","No","N/A (This paper should be excluded)","","","Raster (cells, pixels, patches)","Yes","2400","","150","Months","Humans","2000","Humans","","","No","","Yes","to save computing time","","No"
"2024/11/07 3:48:27 pm CET","Alison","Pluchino","2014","Journal of Artificial Societies and Social Simulation","","","","Yes","Yes","Yes","Yes","Housing Estate","Castello Ursino museum in Catania (Italy)","Raster (cells, pixels, patches)","No","","","","","Humans","","Humans","","","No","","No","","","No"
